reference,V,coverage,H_pS_bits,selection
subtlex-uk,9291,0.954620297835,9.22603679391,top-frequency
subtlex-uk,9694,0.956391572636,9.24445785242,top-frequency
subtlex-uk,10114,0.958119288533,9.26253726808,top-frequency
subtlex-uk,10552,0.959803554597,9.28027461694,top-frequency
subtlex-uk,11010,0.961449353379,9.29771838415,top-frequency
subtlex-uk,11487,0.963040537445,9.3147078622,top-frequency
subtlex-uk,11985,0.96458977388,9.33136119817,top-frequency
subtlex-uk,12504,0.966094796987,9.34764957177,top-frequency
subtlex-uk,13046,0.967562141095,9.36363511512,top-frequency
subtlex-uk,13612,0.968987894531,9.37927731799,top-frequency
subtlex-uk,14202,0.970371140109,9.39455990561,top-frequency
subtlex-uk,14817,0.971713851018,9.40949781346,top-frequency
subtlex-uk,15000,0.972095221966,9.41376007099,top-frequency
subtlex-uk,15460,0.973019492734,9.42412681044,top-frequency
subtlex-uk,16130,0.97428712824,9.43842762842,top-frequency
subtlex-uk,16829,0.975517481369,9.45240604347,top-frequency
subtlex-uk,17558,0.976713536695,9.46608745178,top-frequency
subtlex-uk,18319,0.977875006668,9.47946711301,top-frequency
subtlex-uk,19113,0.978999848689,9.4925199787,top-frequency
subtlex-uk,19942,0.980092182659,9.50528528913,top-frequency
subtlex-uk,20806,0.981145613064,9.51769092822,top-frequency
subtlex-uk,21708,0.982160952977,9.5297434318,top-frequency
subtlex-uk,22649,0.983136789436,9.54142247599,top-frequency
subtlex-uk,23630,0.984077847189,9.55277225722,top-frequency
subtlex-uk,24655,0.984986267988,9.56381431977,top-frequency
subtlex-uk,25723,0.985855611702,9.5744717656,top-frequency
subtlex-uk,26838,0.986691331867,9.58480113774,top-frequency
subtlex-uk,28001,0.987492600539,9.59478787104,top-frequency
subtlex-uk,29215,0.988259963071,9.60443421221,top-frequency
subtlex-uk,30481,0.988993751632,9.61373811263,top-frequency
subtlex-uk,31803,0.989694590902,9.62270319865,top-frequency
subtlex-uk,33181,0.990361647976,9.63131335714,top-frequency
subtlex-uk,34619,0.990996038351,9.63957744845,top-frequency
subtlex-uk,36120,0.991598490817,9.64749909655,top-frequency
subtlex-uk,37685,0.992169357377,9.65507639162,top-frequency
subtlex-uk,39319,0.992712123336,9.66234692867,top-frequency
subtlex-uk,41023,0.993227165486,9.66930972936,top-frequency
subtlex-uk,42801,0.993715396055,9.67597176443,top-frequency
subtlex-uk,44656,0.994177038141,9.6823312222,top-frequency
subtlex-uk,46592,0.99461292465,9.68839404576,top-frequency
subtlex-uk,48611,0.995023447244,9.6941601123,top-frequency
subtlex-uk,50718,0.99540974125,9.69963968289,top-frequency
subtlex-uk,52916,0.995772550335,9.70483765195,top-frequency
subtlex-uk,55210,0.996113941883,9.70977673635,top-frequency
subtlex-uk,57603,0.996433489529,9.7144470129,top-frequency
subtlex-uk,60100,0.996732115416,9.71885656584,top-frequency
subtlex-uk,62705,0.997011847268,9.72302842408,top-frequency
subtlex-uk,65422,0.997272724749,9.72695933584,top-frequency
subtlex-uk,68258,0.997517276316,9.73068048378,top-frequency
subtlex-uk,71217,0.997744966532,9.73418100406,top-frequency
subtlex-uk,74303,0.997957019964,9.73747430589,top-frequency
subtlex-uk,77524,0.998155151998,9.74058196064,top-frequency
subtlex-uk,80884,0.998339025506,9.74349593903,top-frequency
subtlex-uk,84390,0.998508952827,9.74621781353,top-frequency
subtlex-uk,88048,0.998667115377,9.74877644131,top-frequency
subtlex-uk,91864,0.998814742681,9.75118765788,top-frequency
subtlex-uk,95846,0.998952935362,9.75346610533,top-frequency
subtlex-uk,100000,0.999077365294,9.7555434779,top-frequency
subtlex-uk,160020,1,9.77172891764,top-frequency
