panel,P,parameter,x_median,relative_median,relative_p05,relative_p95,absolute_bits_median,absolute_bits_p95,ratio_median,alignment_high_median,alignment_low_median,frequency_correlation_mean
A,0.25,12.450890633822237,0.9238742397248477,85.41893397502264,36.01695783324126,151.53887511654997,0.23012967358376232,0.408265360417862,1.8541893397502265,318.93593282296257,-21.084578763261774,-0.006546968350075745
A,0.25,16.0,0.9382372779149593,93.30051579844829,36.9735913174167,156.7513209224969,0.2513636760226013,0.42230836465678584,1.933005157984483,324.9395073309331,-19.686337321497817,-0.0002951721388217517
A,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A,0.5,0.05,0.024985539360392987,0.013006474558045654,-0.6007856215221468,0.6900247352935887,0.0021411419049010005,0.006170594142453827,1.0001300647455804,2.435619028798329,-2.3903073901915337,0.002634617867150365
A,0.5,0.06425243169567638,0.03209567746375165,-0.01918727268858206,-0.7854490802354217,0.8731260452758873,0.0025655686387236476,0.007677414244245983,0.9998081272731142,3.152284280872104,-3.047789676305835,-0.012020525282798707
A,0.5,0.08256749957615121,0.04121957307432414,0.07411145587874879,-1.0433551562993604,1.1899007090473488,0.0036960784462825025,0.010061638178755545,1.0007411145587874,4.058487941018887,-3.894945856938639,0.0053341699320373975
A,0.5,0.10610325253598889,0.05291368426440042,0.06717866746398249,-1.2631753415488218,1.5079413907793981,0.004564601610514973,0.012740896561690434,1.0006717866746397,5.233326119373013,-4.989317488661838,0.003772106482572233
A,0.5,0.13634783972515457,0.06788723485958875,0.17399215087207598,-1.6754016231892543,1.8445855771514459,0.006224202833980674,0.016423658858593485,1.0017399215087208,6.736347188719388,-6.3676534747787565,-0.0010798139220039272
A,0.5,0.17521360517587056,0.08699050805913874,0.237127508373551,-2.122324734730144,2.6283607555370923,0.008163257065715968,0.02353612078133762,1.0023712750837355,8.712495894671104,-8.095121774690385,0.0016079446069356582
A,0.5,0.22515800397431665,0.11128037718024067,0.2637376397698644,-2.355119212501373,3.379736575256913,0.009528059885458906,0.02753640906071857,1.0026373763976988,11.264578960382586,-10.222310056025558,0.001691437860848178
A,0.5,0.28933898542189235,0.14200197937713818,0.5584491918868195,-2.95677109024626,4.330068614584016,0.011693668911491484,0.034880659571902575,1.0055844919188681,14.571049800340642,-12.880868774084192,0.004717450675614922
A,0.5,0.37181466795432894,0.18029795030374707,1.043718442470381,-3.3614383194178394,5.8059357512324965,0.016975928879123026,0.047025094732709126,1.0104371844247038,18.79256250626381,-16.10718368592397,0.0002917260551020131
A,0.5,0.4777999311237224,0.2275305627321087,1.8119289059474015,-4.091776591976379,7.641954098506412,0.02202639109348209,0.060360532556391976,1.0181192890594741,24.15394137198802,-19.83635788990012,0.008276082563849143
A,0.5,0.6139961487745171,0.28387401354261194,2.719662705580368,-4.489700793886955,10.43276556560335,0.02851206005611029,0.08154279496918937,1.0271966270558037,30.886328456642126,-24.087407280769515,0.008574148316801807
A,0.5,0.7890149122108604,0.3495307654975496,3.8794146315358873,-5.022216266001036,13.554307069399304,0.03732803989864103,0.10594085291760716,1.0387941463153587,39.00237768009886,-28.61750165626851,0.00658597566141787
A,0.5,1.013922535073968,0.42272089112140354,5.4762437623389655,-4.997955869356862,17.25607886178931,0.04746195401441783,0.1348740074480598,1.0547624376233897,48.36750665090188,-33.03231159865635,-0.005664199464798032
A,0.5,1.302939768590944,0.5012481497236736,8.241211296495187,-5.455134370597628,21.861254465894014,0.06738008839733778,0.17086819208887086,1.0824121129649518,58.93023307260933,-36.939657943836174,-0.0024378650766564997
A,0.5,1.6743409696994005,0.5772427794781969,11.243254143530805,-4.128128768177531,26.66590619141734,0.08806010190062175,0.20842148781751427,1.112432541435308,69.83493085334865,-39.73429196886259,-0.007962634976527825
A,0.5,2.151609575817667,0.6484874813377005,15.912586001516917,-1.9265387688399807,35.60753401506242,0.1249388273799183,0.2783095074159037,1.1591258600151693,79.7926756297227,-41.30807923584662,0.011107088303994041
A,0.5,2.7649229461197575,0.716217335007435,18.538644628969866,0.38750120069625565,36.26721336877002,0.1448985782802193,0.2834655801702018,1.1853864462896988,89.20251228300208,-41.766861303573165,-0.008275827918208198
A,0.5,3.5530604547873605,0.7727981884507987,22.8405247737168,3.365716891211118,42.89799145645172,0.17852219690936455,0.3352919319357082,1.228405247737168,96.44752586578201,-41.25627962060619,-0.004107961427347833
A,0.5,4.565855483636677,0.8209124897548614,27.84477389891857,5.560687061292961,51.17574237464176,0.2176355516401985,0.3999910705949169,1.2784477389891857,102.35094990584835,-40.2946151075257,0.010671128978614006
A,0.5,5.867346351893901,0.8584824195322969,30.9464560255318,7.834563605269169,54.480264530276976,0.24187838812680507,0.4258193105676919,1.3094645602553179,106.54174410688033,-39.057479570133225,0.008916186260195559
A,0.5,7.5398254141987815,0.8889509908934761,33.337667138570936,9.559118572311466,56.97920618248772,0.26056816278842143,0.44535111021418416,1.3333766713857094,109.52376243006847,-37.84423701514829,0.009086609678108279
A,0.5,9.689042348462637,0.9149356186814235,34.61794050485849,11.449170358612083,60.68117213368804,0.2705748161494339,0.4742857822954684,1.346179405048585,111.85882382021649,-36.620057849603825,-0.001159137675140256
A,0.5,12.450890633822237,0.9329090316923807,38.19687314092759,13.814123453012146,62.27230468831687,0.29854785630991654,0.48672211999087966,1.381968731409276,113.49244149810121,-35.68092828365367,0.005910884025178864
A,0.5,16.0,0.9454438241419078,38.53505393797188,15.98447003303075,61.74212523770058,0.3011910871217751,0.4825782221944011,1.3853505393797187,114.53050895368213,-34.96258280515892,-0.0020850137548789607
A,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A,0.9,0.05,0.014992817730829966,-0.006429181124751238,-0.1455418120253276,0.14414937041535592,0.0010467046757560716,0.0032856953446498854,0.9999357081887525,0.535823676613166,-0.5380071354940399,-0.013161358381275749
A,0.9,0.06425243169567638,0.019278622125726893,0.012089502541809714,-0.17071114180088887,0.1845522437550374,0.0014569293960372542,0.004272319275157143,1.0001208950254181,0.6858915261099399,-0.6953507310588936,0.0017971142772568506
A,0.9,0.08256749957615121,0.02478147017800909,0.007800516594527491,-0.2464883911936486,0.24632713273759532,0.0019661384027997997,0.005593300891488661,1.0000780051659452,0.880471777021579,-0.8934118116707216,-9.795685907547036e-05
A,0.9,0.10610325253598889,0.03183263558614216,0.021166535706871225,-0.29848332420348245,0.32164040161534296,0.00265319138958775,0.007011094706688868,1.0002116653570687,1.1308655220196675,-1.1445981045312226,0.0024902381038407924
